"churn_prediction","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10","feature_11","feature_12","feature_13","feature_14","feature_15"
"no",-0.747384483590119,-0.393555819111706,-0.217055445596494,0.787639834691749,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,2,1,0,1,0,2,8,3
"no",0.100181315532343,-0.222769039410404,-1.05816057913441,-0.36952953311991,-0.569350637645791,1.45616309368031,0.182197529943736,0,2,1,0,0,0,0,2,2
"no",-0.841558461270392,-0.334437318445871,0.624049687941421,-0.920932386238217,1.36739110254636,1.00673673534982,3.655300734871,7,2,1,0,0,1,0,9,1
"no",-0.559036528229572,-0.352501304760432,1.46515482147934,-0.81608818177206,2.33576197264244,-0.411453106493048,-0.251940370672173,0,2,1,0,1,0,0,5,3
"no",-0.653210505909845,-0.137047213444943,0.984523316600528,-0.299633396809138,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,1,1,0,1,1,0,5,3
"no",1.13609507001535,-0.0693893737940423,-1.29847633157381,0.597367019179094,-0.569350637645791,-0.411453106493048,-0.251940370672173,0,0,1,0,1,0,2,8,3
"no",-1.02990641663094,-0.238205536806483,-0.0968975693767915,-0.734542689409493,0.721810522482311,-0.411453106493048,-0.251940370672173,7,1,1,0,1,0,0,8,3
"no",1.79531291377727,0.357249139344403,-0.817844826695005,0.150808370526944,0.721810522482311,-0.411453106493048,-0.251940370672173,11,1,2,0,0,0,2,5,3
"no",1.51279098073645,-0.278274742813327,-0.337213321816196,0.115860302371558,-0.246560347613766,-0.411453106493048,-0.251940370672173,5,0,0,0,1,0,2,8,3
"no",0.665225181613984,-0.288127826257633,0.864365440380826,-0.676295909150517,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,0,1,0,1,0,0,5,3
"no",-0.559036528229572,-0.243788950758257,0.143418183062613,-0.781140113616674,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,2,2,0,1,0,0,0,3
"no",-0.653210505909845,-0.368923110500942,-1.65894996023292,-0.586984179420087,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,1,0,0,1,0,2,6,3
"no",-0.0881666398282039,-0.31637333213131,1.46515482147934,-0.047230682353575,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,0,1,0,0,0,0,4,3
"no",0.853573136974531,1.60793386454163,-0.0968975693767915,-0.462724381534271,1.36739110254636,-0.411453106493048,-0.251940370672173,1,1,1,0,1,0,2,8,3
"no",-0.841558461270392,-0.31670176824612,-0.337213321816196,1.77783509909434,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,2,0,0,1,0,0,8,3
"no",-0.841558461270392,2.93120297111191,1.34499694525963,0.0886784715840359,0.399020232450285,1.476137598495,0.182197529943736,1,1,1,0,1,0,0,8,0
"no",-0.559036528229572,0.223575640616653,0.864365440380826,-0.385062007855637,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,2,2,0,1,1,2,8,3
"no",-0.464862550549298,0.409470481599225,1.70547057391874,-0.454958144166408,2.01297168261041,-0.411453106493048,-0.251940370672173,4,1,2,0,1,0,2,8,3
"no",-0.653210505909845,-0.446434033596148,-0.938002702914707,-0.901516792818558,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,0,0,1,0,1,8,3
"no",-0.370688572869025,-0.396183308030188,-1.29847633157381,-0.975296047813261,2.33576197264244,-0.411453106493048,-0.251940370672173,4,2,2,0,0,0,0,3,3
"no",-1.02990641663094,-0.196494150225588,1.22483906903993,-0.420010076011022,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,1,1,0,0,0,2,8,3
"no",-0.182340617508477,0.603904661566861,-1.17831845535411,-0.23750349786623,-0.246560347613766,-0.411453106493048,-0.251940370672173,6,1,2,0,0,0,2,6,3
"no",1.60696495841672,-0.295681856898268,-0.457371198035898,0.286717524464555,-0.569350637645791,-0.411453106493048,-0.251940370672173,7,0,1,0,0,0,0,1,3
"no",-1.50077630503231,-0.153469019185453,-1.53879208401322,-0.353997058384183,-0.569350637645791,-0.411453106493048,-0.251940370672173,7,2,1,0,1,0,2,6,3
"no",1.3244430253759,-0.439865311299944,-1.29847633157381,0.127509658423353,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,0,0,1,0,2,8,3
"no",1.98366086913781,-0.447419341940579,-0.337213321816196,-0.121009937348278,-0.246560347613766,-0.411453106493048,-0.251940370672173,5,0,2,0,0,0,0,9,3
"yes",0.853573136974531,0.138510686880812,0.383733935502017,3.5951346431744,0.0762299424182596,1.19649453108936,0.182197529943736,1,1,2,0,0,0,0,9,0
"no",1.13609507001535,-0.445448725251718,0.383733935502017,-0.594750416787951,2.65855226267446,-0.411453106493048,-0.251940370672173,0,1,2,1,0,0,2,8,3
"no",0.853573136974531,-0.912156444397007,0.383733935502017,0.38767861024678,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,1,1,0,0,0,0,1,3
"no",-0.841558461270392,-0.374178088337905,1.58531269769904,0.414860441034302,-0.569350637645791,-0.411453106493048,-0.251940370672173,4,2,2,0,0,0,0,4,3
"no",1.13609507001535,0.399288962040108,0.383733935502017,0.158574607894807,0.399020232450285,0.667170153500121,0.616335430559645,4,1,2,0,0,0,0,9,0
"no",0.28852927089289,-0.285828773453962,-0.457371198035898,-0.785023232300606,-0.569350637645791,3.20393226496554,0.616335430559645,7,2,1,0,1,0,0,8,1
"no",0.28852927089289,-0.479934517306788,-1.17831845535411,-0.57145170468436,-0.246560347613766,-0.411453106493048,-0.251940370672173,1,1,1,0,1,0,2,8,3
"yes",0.476877226253437,-0.127522566115447,-1.29847633157381,-0.32681522759666,-0.246560347613766,0.397514338501829,0.182197529943736,0,1,1,0,0,0,0,6,2
"no",-0.935732438950666,0.974052162957952,-0.457371198035898,-0.21420478576264,0.399020232450285,1.24643079312608,5.82599023795055,4,1,2,0,0,0,0,10,2
"no",0.571051203933711,-0.479606081191978,-0.817844826695005,-0.567568586000428,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,1,0,1,0,2,8,3
"no",1.23026904769563,-0.205690361440274,0.143418183062613,-0.388945126539568,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,0,0,1,1,1,0,3
"no",1.3244430253759,-0.218499369917872,-0.0968975693767915,-0.202555429710845,-0.569350637645791,-0.411453106493048,-0.251940370672173,7,1,1,0,1,0,2,8,3
"no",-1.21825437199149,-0.414247294344749,-0.817844826695005,-0.132659293400073,0.0762299424182596,-0.411453106493048,-0.251940370672173,4,2,3,1,1,0,2,8,3
"no",-0.747384483590119,1.28967926929055,-1.17831845535411,0.888600920473975,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,1,2,0,1,0,0,8,3
"no",-0.841558461270392,-0.307177120916625,0.503891811721719,-0.959763573077534,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,2,1,0,0,0,2,11,3
"no",0.28852927089289,0.362832553296176,-0.0968975693767915,-0.862685605979241,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,0,0,1,0,2,8,3
"no",1.3244430253759,-0.656304710959864,-0.337213321816196,-0.944231098341808,0.721810522482311,3.07409798367006,1.05047333117555,1,1,0,0,1,0,1,8,0
"no",1.04192109233508,-0.371879035534234,0.984523316600528,0.636198206018412,-0.246560347613766,-0.411453106493048,-0.251940370672173,10,0,1,0,0,0,0,2,3
"no",0.00600733785206958,-0.340349168512455,-1.17831845535411,-0.36952953311991,-0.569350637645791,1.41621408405093,0.616335430559645,4,1,2,0,0,0,0,3,0
"no",0.759399159294258,-0.471723614436533,0.383733935502017,-0.559802348632565,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,1,1,1,1,0,0,9,3
"no",0.947747114654805,0.966498132317318,-1.41863420779352,-0.513204924425384,-0.569350637645791,-0.411453106493048,-0.251940370672173,4,2,2,0,1,0,0,8,3
"no",-1.59495028271258,-0.0260358066390963,-1.65894996023292,-0.128776174716142,-0.246560347613766,-0.411453106493048,-0.251940370672173,8,2,0,0,0,0,0,0,3
"no",0.382703248573164,-0.447419341940579,1.22483906903993,-0.567568586000428,-0.246560347613766,-0.411453106493048,-0.251940370672173,1,1,1,0,1,0,2,8,3
"no",-0.370688572869025,-0.33180982952739,0.984523316600528,-0.586984179420087,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,1,1,0,1,0,0,5,3
"no",-0.464862550549298,-0.447419341940579,-1.05816057913441,-0.757841401513084,1.04460081251434,-0.411453106493048,-0.251940370672173,10,2,0,0,1,0,1,5,3
"no",-0.276514595188751,-0.244117386873067,-1.17831845535411,0.783756716007818,0.399020232450285,-0.411453106493048,-0.251940370672173,4,2,2,0,1,0,2,6,3
"no",1.79531291377727,-0.447419341940579,-0.938002702914707,-0.773373876248811,-0.569350637645791,-0.411453106493048,-0.251940370672173,4,1,2,0,1,0,0,5,3
"no",-1.21825437199149,-0.558102312631615,0.864365440380826,0.100327827635831,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,2,1,0,0,1,0,5,3
"no",-0.935732438950666,-0.447419341940579,1.10468119282023,0.0304316913250598,1.04460081251434,-0.411453106493048,-0.251940370672173,9,1,2,0,1,0,0,5,3
"no",1.70113893609699,-0.447419341940579,0.503891811721719,-0.951997335709671,0.721810522482311,-0.411453106493048,-0.251940370672173,5,0,1,0,0,0,2,6,3
"no",-0.935732438950666,-0.468439253288431,0.624049687941421,-0.858802487295309,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,2,1,0,0,0,0,5,3
"no",-0.559036528229572,-0.371879035534234,-1.53879208401322,0.115860302371558,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,2,1,0,0,0,0,3,3
"no",-0.182340617508477,-0.355785665908534,-1.29847633157381,0.399327966298575,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,0,0,1,0,2,8,3
"no",-0.276514595188751,-0.425414122248296,1.46515482147934,-0.715127095989835,-0.569350637645791,1.98548747126955,0.616335430559645,1,1,1,0,0,0,0,4,0
"yes",0.665225181613984,-0.477635464503117,-1.53879208401322,4.40670644811613,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,2,1,0,1,0,0,3,3
"no",2.07783484681809,1.11330907563748,-1.65894996023292,-0.0977112252446877,-0.246560347613766,-0.411453106493048,-0.251940370672173,5,1,1,0,0,0,0,11,3
"no",-0.841558461270392,-0.417860091607661,-0.337213321816196,-0.552036111264702,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,2,2,0,0,0,0,1,3
"no",1.23026904769563,-0.153469019185453,-1.05816057913441,0.29836688051635,-0.569350637645791,-0.411453106493048,-0.251940370672173,11,1,3,0,0,0,0,10,3
"no",0.00600733785206958,-0.756149289862164,-1.17831845535411,-0.202555429710845,-0.246560347613766,-0.411453106493048,-0.251940370672173,1,1,1,0,1,1,0,8,3
"no",0.947747114654805,-0.455958680925644,1.34499694525963,-0.819971300455992,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,0,0,1,0,2,8,3
"no",-0.370688572869025,0.726411332391064,0.383733935502017,-0.311282752860933,-0.569350637645791,1.2963670551628,0.616335430559645,1,1,0,0,1,0,0,9,0
"no",-1.68912426039285,-0.286814081798393,0.263576059282315,-0.0899449878768242,0.399020232450285,-0.411453106493048,-0.251940370672173,2,1,2,0,0,1,0,1,3
"no",-1.02990641663094,-0.447419341940579,-0.457371198035898,0.0498472847447185,-0.569350637645791,3.08408523607741,1.48461123179146,1,2,1,0,1,0,0,8,0
"no",-1.50077630503231,0.471544907298352,1.58531269769904,0.706094342329183,-0.246560347613766,-0.411453106493048,-0.251940370672173,7,2,1,0,1,0,2,8,3
"no",1.23026904769563,0.119132956107011,0.0232603068429106,-0.163724242871527,0.0762299424182596,-0.411453106493048,-0.251940370672173,9,0,3,0,0,0,2,6,3
"yes",-0.747384483590119,-0.49996912031021,0.624049687941421,2.48456269956992,0.721810522482311,-0.411453106493048,-0.251940370672173,9,1,1,0,1,0,0,5,3
"yes",-0.370688572869025,0.248865221457038,-0.0968975693767915,1.54096485937451,0.0762299424182596,1.34630331719952,1.48461123179146,1,1,0,0,1,0,0,8,0
"yes",2.54870473521945,-0.447419341940579,-0.0968975693767915,2.15838073011965,-0.569350637645791,-0.411453106493048,-0.251940370672173,5,1,0,0,0,0,1,4,3
"no",1.51279098073645,1.98300790765488,-0.5775290742556,0.880834683106111,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,2,1,0,1,0,0,8,3
"no",-1.40660232735203,-0.447419341940579,0.263576059282315,-0.497672449689657,0.399020232450285,-0.411453106493048,-0.251940370672173,7,1,1,0,1,0,0,8,3
"no",-0.935732438950666,-0.348231635267899,0.864365440380826,-0.847153131243514,1.69018139257839,-0.411453106493048,-0.251940370672173,1,2,0,0,1,0,0,5,3
"no",-0.370688572869025,-0.409649188737406,-0.337213321816196,-0.528737399161111,0.399020232450285,0.607246639056056,1.91874913240737,0,2,1,0,0,0,0,9,0
"no",0.476877226253437,-0.447419341940579,-0.697686950475302,-0.672412790466586,-0.569350637645791,-0.411453106493048,-0.251940370672173,10,1,2,0,1,0,0,5,3
"no",0.382703248573164,-0.237548664576863,-0.337213321816196,-0.256919091285889,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,1,1,0,1,0,2,8,3
"yes",2.26618280217863,0.156903109310183,-1.77910783645262,-0.260802209969821,-0.246560347613766,0.517361367389959,2.78702493363919,5,0,0,0,0,0,0,11,0
"yes",-0.559036528229572,-0.538067709628193,-0.337213321816196,2.2981730027412,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,2,0,0,1,0,0,8,3
"no",-0.841558461270392,-0.447419341940579,0.624049687941421,-0.536503636528975,0.0762299424182596,-0.411453106493048,-0.251940370672173,9,1,1,0,0,0,0,1,3
"no",-0.559036528229572,-0.447419341940579,1.46515482147934,-0.823854419139924,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,2,2,0,1,0,1,1,3
"no",-0.0881666398282039,-0.0936936462899968,0.143418183062613,-0.427776313378886,-0.246560347613766,-0.411453106493048,-0.251940370672173,10,1,1,0,1,1,0,9,3
"no",-0.653210505909845,1.49068217155439,1.46515482147934,-0.183139836291186,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,2,3,0,0,0,0,4,3
"no",-0.464862550549298,0.338856716915032,-0.217055445596494,-0.287984040757343,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,1,1,0,0,0,0,1,3
"yes",-0.370688572869025,-0.361369079860307,-1.05816057913441,0.181873319998398,-0.569350637645791,1.3862523268289,1.91874913240737,0,2,1,0,0,0,0,1,1
"no",0.194355293212617,0.737578160294611,0.0232603068429106,-0.361763295752046,1.04460081251434,-0.411453106493048,-0.251940370672173,7,1,1,0,1,0,2,8,3
"no",-0.559036528229572,-0.444791853022097,0.624049687941421,-0.346230821016319,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,2,2,0,0,0,0,1,3
"no",0.665225181613984,-0.356114102023344,-1.29847633157381,-0.517088043109316,-0.246560347613766,-0.411453106493048,-0.251940370672173,1,1,0,0,1,0,2,8,3
"no",-0.747384483590119,-0.251671417513701,-1.29847633157381,0.193522676050193,-0.569350637645791,1.7258189086786,0.182197529943736,2,0,0,0,0,1,0,3,1
"no",1.23026904769563,0.799652585993738,0.263576059282315,-0.0200488515660528,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,1,2,0,0,0,1,1,3
"no",0.665225181613984,-0.238862409036104,-0.817844826695005,-0.0860618691928925,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,0,1,0,0,0,2,6,3
"no",0.759399159294258,-0.446762469710958,0.383733935502017,-0.315165871544865,1.69018139257839,-0.411453106493048,-0.251940370672173,9,1,1,0,0,0,0,1,3
"no",-0.653210505909845,-0.447419341940579,1.22483906903993,-0.777256994932743,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,1,2,0,0,0,0,8,3
"no",1.51279098073645,-0.447419341940579,1.46515482147934,-0.489906212321794,-0.569350637645791,-0.411453106493048,-0.251940370672173,4,1,1,0,0,0,0,4,3
"no",0.28852927089289,-0.461542094877417,-0.817844826695005,0.123626539739422,1.04460081251434,-0.411453106493048,-0.251940370672173,10,1,0,1,1,0,0,3,3
"no",-0.841558461270392,-0.343961965775367,1.70547057391874,-0.765607638880947,-0.246560347613766,-0.411453106493048,-0.251940370672173,1,2,0,0,1,0,2,8,3
"no",-0.0881666398282039,-0.171204569385203,1.58531269769904,-0.862685605979241,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,0,1,0,0,1,1,1,3
"no",0.476877226253437,-0.0181533398836516,1.58531269769904,0.56630206970764,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,1,1,0,1,0,2,8,3
"no",-0.182340617508477,-0.446762469710958,-0.5775290742556,-0.761724520197016,-0.569350637645791,-0.411453106493048,-0.251940370672173,7,0,1,0,1,1,2,6,3
"no",-1.21825437199149,-0.386001788471072,-0.817844826695005,0.14304213315908,-0.569350637645791,-0.411453106493048,-0.251940370672173,4,2,2,0,0,0,0,7,3
"no",-1.12408039431121,-0.442164364103615,-1.17831845535411,-0.835503775191719,-0.569350637645791,-0.411453106493048,-0.251940370672173,6,2,2,0,1,0,2,8,3
"no",0.759399159294258,-0.378776193945248,0.143418183062613,-0.901516792818558,-0.569350637645791,-0.411453106493048,-0.251940370672173,0,1,1,0,0,0,2,8,3
"no",-0.370688572869025,-0.233607431199141,-0.817844826695005,-0.1481917681358,-0.246560347613766,-0.411453106493048,-0.251940370672173,7,1,1,0,0,0,2,6,3
"no",-0.935732438950666,-0.40012454140791,0.624049687941421,-0.804438825720265,-0.246560347613766,0.996749482942478,4.52357653610282,0,2,1,0,1,0,0,9,0
"no",0.28852927089289,-0.41556103880399,-1.17831845535411,-0.408360719959227,0.399020232450285,-0.411453106493048,-0.251940370672173,6,2,2,0,1,0,2,6,3
"no",0.947747114654805,0.0176461966306598,-0.817844826695005,0.337198067355667,-0.569350637645791,-0.411453106493048,-0.251940370672173,10,1,1,0,0,0,0,11,3
"no",-0.935732438950666,0.0485191914228183,-0.337213321816196,-0.722893333357698,0.399020232450285,1.35629056960687,0.182197529943736,7,2,1,0,1,0,0,8,0
"no",1.13609507001535,-0.447419341940579,1.70547057391874,1.27302967018322,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,0,1,0,1,1,0,0,3
"no",-0.747384483590119,-0.447090905825768,1.46515482147934,-0.540386755212906,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,0,1,0,0,0,0,4,3
"no",-1.02990641663094,0.295503149760086,1.46515482147934,-0.606399772839746,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,0,1,0,1,0,2,8,3
"no",-1.02990641663094,-0.330824521182959,-0.0968975693767915,-0.408360719959227,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,2,2,0,1,0,0,8,3
"no",1.04192109233508,0.506359135468233,-0.0968975693767915,-0.221971023130503,1.04460081251434,2.31506680071191,1.05047333117555,7,1,1,0,1,0,0,0,0
"no",-0.0881666398282039,-0.447419341940579,-1.17831845535411,1.48660119779946,1.04460081251434,-0.411453106493048,-0.251940370672173,4,2,2,0,0,0,0,1,3
"no",-0.841558461270392,0.472858651757592,0.503891811721719,-0.3928282452235,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,1,1,0,0,0,0,1,3
"no",-1.50077630503231,-0.289770006831684,-0.938002702914707,-0.45884126285034,-0.569350637645791,-0.411453106493048,-0.251940370672173,8,2,3,0,0,0,0,11,3
"no",0.571051203933711,0.164457139950818,-0.217055445596494,-0.416126957327091,0.399020232450285,-0.411453106493048,-0.251940370672173,0,1,1,0,1,1,0,8,3
"no",1.70113893609699,-0.438880002955514,0.263576059282315,-0.645230959679063,0.0762299424182596,-0.411453106493048,-0.251940370672173,5,1,1,0,0,0,0,3,3
"no",1.60696495841672,-0.173175186074064,-1.53879208401322,0.146925251843012,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,0,0,0,0,0,1,3,3
"no",0.476877226253437,0.846947386526406,0.383733935502017,0.935198344681156,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,1,2,0,1,0,0,9,3
"no",0.100181315532343,-0.714437903281269,0.263576059282315,-0.862685605979241,0.399020232450285,-0.411453106493048,-0.251940370672173,9,1,1,0,1,0,2,6,3
"no",1.70113893609699,0.3345870474225,1.70547057391874,-0.330698346280592,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,1,1,0,0,0,0,0,3
"no",1.23026904769563,-0.43362502511855,-1.53879208401322,0.508055289448664,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,1,1,0,0,1,2,5,3
"no",-0.841558461270392,-0.103546729734303,0.624049687941421,-0.656880315730859,-0.246560347613766,-0.411453106493048,-0.251940370672173,1,2,1,0,0,0,0,9,3
"no",0.476877226253437,-0.451032139203491,-0.5775290742556,-0.462724381534271,-0.246560347613766,-0.411453106493048,-0.251940370672173,9,0,1,1,0,0,0,1,3
"no",0.194355293212617,-0.427056302822347,-0.217055445596494,-0.486023093637862,-0.569350637645791,2.59470986811754,1.05047333117555,4,1,0,0,1,0,0,8,0
"no",0.28852927089289,-0.447419341940579,0.383733935502017,-0.505438687057521,-0.569350637645791,-0.411453106493048,-0.251940370672173,4,0,2,0,1,1,0,9,3
"no",-1.78329823807313,-0.373849652223095,-0.217055445596494,-0.983062285181125,-0.569350637645791,-0.411453106493048,-0.251940370672173,8,2,1,0,0,0,2,11,3
"no",-0.841558461270392,-0.275647253894846,0.864365440380826,-0.552036111264702,0.721810522482311,-0.411453106493048,-0.251940370672173,1,1,1,0,1,0,2,8,3
"no",0.382703248573164,-0.21587188099939,0.503891811721719,-0.489906212321794,0.399020232450285,-0.411453106493048,-0.251940370672173,4,0,1,0,0,0,0,1,3
